Berichtsdatum,Faelle_gesamt,Todesfaelle_gesamt,Todesfaelle_neu,Fall-Verstorbenen-Anteil
2020-03-09,1112,2,2,0.0018
2020-03-10,1296,2,0,0.0015
2020-03-11,1567,3,1,0.0019
2020-03-12,2369,5,2,0.0021
2020-03-13,3062,5,0,0.0016
2020-03-14,3795,8,3,0.0021
2020-03-15,4838,12,4,0.0025
2020-03-16,6012,12,0,0.002
2020-03-17,7156,12,0,0.0017
2020-03-18,8198,12,0,0.0015
2020-03-19,10999,20,8,0.0018
2020-03-20,13957,31,11,0.0022
2020-03-21,16662,47,16,0.0028
2020-03-22,18610,55,8,0.003
2020-03-23,22672,86,31,0.0038
2020-03-24,27436,114,28,0.0042
2020-03-25,31554,149,35,0.0047
2020-03-26,36508,198,49,0.0054
2020-03-27,42288,253,55,0.006
2020-03-28,48582,325,72,0.0067
2020-03-29,52547,389,64,0.0074
2020-03-30,57298,455,66,0.0079
2020-03-31,61913,583,128,0.0094
2020-04-01,67366,732,149,0.0109
2020-04-02,73522,872,140,0.0119
2020-04-03,79696,1017,145,0.0128
2020-04-04,85778,1158,141,0.0135
2020-04-05,91714,1342,184,0.0146
2020-04-06,95391,1434,92,0.015
2020-04-07,99225,1607,173,0.0162
2020-04-08,103228,1861,254,0.018
2020-04-09,108202,2107,246,0.0195
2020-04-10,113525,2373,266,0.0209
2020-04-11,117658,2544,171,0.0216
2020-04-12,120479,2673,129,0.0222
2020-04-13,123016,2799,126,0.0228
2020-04-14,125098,2969,170,0.0237
2020-04-15,127584,3254,285,0.0255
2020-04-16,130450,3569,315,0.0274
2020-04-17,133830,3868,299,0.0289
2020-04-18,137439,4110,242,0.0299
2020-04-19,139897,4294,184,0.0307
2020-04-20,141672,4404,110,0.0311
2020-04-21,143457,4598,194,0.0321
2020-04-22,145694,4879,281,0.0335
2020-04-23,148046,5094,215,0.0344
2020-04-24,150383,5321,227,0.0354
2020-04-25,152438,5500,179,0.0361
2020-04-26,154175,5640,140,0.0366
2020-04-27,155193,5750,110,0.0371
2020-04-28,156337,5913,163,0.0378
2020-04-29,157641,6115,202,0.0388
2020-04-30,159119,6288,173,0.0395
2020-05-01,160758,6481,193,0.0403
2020-05-02,161703,6575,94,0.0407
2020-05-03,162496,6649,74,0.0409
2020-05-04,163175,6692,43,0.041
2020-05-05,163860,6831,139,0.0417
2020-05-06,164807,6996,165,0.0424
2020-05-07,166091,7119,123,0.0429
2020-05-08,167300,7266,147,0.0434
2020-05-09,168551,7369,103,0.0437
2020-05-10,169218,7395,26,0.0437
2020-05-11,169575,7417,22,0.0437
2020-05-12,170508,7533,116,0.0442
2020-05-13,171306,7634,101,0.0446
2020-05-14,172239,7723,89,0.0448
2020-05-15,173152,7824,101,0.0452
2020-05-16,173772,7881,57,0.0454
2020-05-17,174355,7914,33,0.0454
2020-05-18,174697,7935,21,0.0454
2020-05-19,175210,8007,72,0.0457
2020-05-20,176007,8090,83,0.046
2020-05-21,176752,8147,57,0.0461
2020-05-22,177212,8174,27,0.0461
2020-05-23,177850,8216,42,0.0462
2020-05-24,178281,8247,31,0.0463
2020-05-25,178570,8257,10,0.0462
2020-05-26,179002,8302,45,0.0464
2020-05-27,179364,8349,47,0.0465
2020-05-28,179717,8411,62,0.0468
2020-05-29,180458,8450,39,0.0468
2020-05-30,181196,8489,39,0.0468
2020-05-31,181482,8500,11,0.0468
2020-06-01,181815,8511,11,0.0468
2020-06-02,182028,8522,11,0.0468
2020-06-03,182370,8551,29,0.0469
2020-06-04,182764,8581,30,0.047
2020-06-05,183271,8613,32,0.047
2020-06-06,183678,8646,33,0.0471
2020-06-07,183979,8668,22,0.0471
2020-06-08,184193,8674,6,0.0471
2020-06-09,184543,8711,37,0.0472
2020-06-10,184861,8729,18,0.0472
2020-06-11,185416,8755,26,0.0472
2020-06-12,185674,8763,8,0.0472
2020-06-13,186022,8781,18,0.0472
2020-06-14,186269,8787,6,0.0472
2020-06-15,186461,8791,4,0.0471
2020-06-16,186839,8800,9,0.0471
2020-06-17,187184,8830,30,0.0472
2020-06-18,187764,8856,26,0.0472
2020-06-19,188534,8872,16,0.0471
2020-06-20,189135,8883,11,0.047
2020-06-21,189822,8882,-1,0.0468
2020-06-22,190359,8885,3,0.0467
2020-06-23,190862,8895,10,0.0466
2020-06-24,191449,8914,19,0.0466
2020-06-25,192079,8927,13,0.0465
2020-06-26,192556,8948,21,0.0465
2020-06-27,193243,8954,6,0.0463
2020-06-28,193499,8957,3,0.0463
2020-06-29,193761,8961,4,0.0462
2020-06-30,194259,8973,12,0.0462
2020-07-01,194725,8985,12,0.0461
2020-07-02,195228,8994,9,0.0461
2020-07-03,195674,9003,9,0.046
2020-07-04,196096,9010,7,0.0459
2020-07-05,196335,9012,2,0.0459
2020-07-06,196554,9016,4,0.0459
2020-07-07,196944,9024,8,0.0458
2020-07-08,197341,9036,12,0.0458
2020-07-09,197783,9048,12,0.0457
2020-07-10,198178,9054,6,0.0457
2020-07-11,198556,9060,6,0.0456
2020-07-12,198804,9063,3,0.0456
2020-07-13,198963,9064,1,0.0456
2020-07-14,199375,9068,4,0.0455
2020-07-15,199726,9071,3,0.0454
2020-07-16,200260,9078,7,0.0453
2020-07-17,200843,9082,4,0.0452
2020-07-18,201372,9083,1,0.0451
2020-07-19,201574,9084,1,0.0451
2020-07-20,201823,9086,2,0.045
2020-07-21,202345,9090,4,0.0449
2020-07-22,202799,9095,5,0.0448
2020-07-23,203368,9101,6,0.0448
2020-07-24,204183,9111,10,0.0446
2020-07-25,204964,9118,7,0.0445
2020-07-26,205269,9118,0,0.0444
2020-07-27,205609,9118,0,0.0443
2020-07-28,206242,9122,4,0.0442
2020-07-29,206926,9128,6,0.0441
2020-07-30,207828,9134,6,0.0439
2020-07-31,208698,9141,7,0.0438
2020-08-01,209653,9148,7,0.0436
2020-08-02,209893,9141,-7,0.0436
2020-08-03,210402,9148,7,0.0435
2020-08-04,211281,9156,8,0.0433
2020-08-05,212022,9168,12,0.0432
2020-08-06,213067,9175,7,0.0431
2020-08-07,214214,9183,8,0.0429
2020-08-08,215336,9195,12,0.0427
2020-08-09,215891,9196,1,0.0426
2020-08-10,216327,9197,1,0.0425
2020-08-11,217293,9201,4,0.0423
2020-08-12,218519,9207,6,0.0421
2020-08-13,219964,9211,4,0.0419
2020-08-14,221413,9225,14,0.0417
2020-08-15,222828,9231,6,0.0414
2020-08-16,223453,9231,0,0.0413
2020-08-17,224014,9232,1,0.0412
2020-08-18,225404,9236,4,0.041
2020-08-19,226914,9243,7,0.0407
2020-08-20,228621,9253,10,0.0405
2020-08-21,230048,9260,7,0.0403
2020-08-22,232082,9267,7,0.0399
2020-08-23,232864,9269,2,0.0398
2020-08-24,233575,9272,3,0.0397
2020-08-25,234853,9277,5,0.0395
2020-08-26,236429,9280,3,0.0393
2020-08-27,237936,9285,5,0.039
2020-08-28,239507,9288,3,0.0388
2020-08-29,240986,9289,1,0.0385
2020-08-30,241771,9295,6,0.0384
2020-08-31,242381,9298,3,0.0384
2020-09-01,243599,9302,4,0.0382
2020-09-02,244855,9313,11,0.038
2020-09-03,246166,9321,8,0.0379
2020-09-04,247619,9322,1,0.0376
2020-09-05,248997,9324,2,0.0374
2020-09-06,249985,9325,1,0.0373
2020-09-07,250799,9325,0,0.0372
2020-09-08,252298,9329,4,0.037
2020-09-09,253474,9338,9,0.0368
2020-09-10,255366,9341,3,0.0366
2020-09-11,256850,9342,1,0.0364
2020-09-12,258480,9347,5,0.0362
2020-09-13,259428,9349,2,0.036
2020-09-14,260355,9350,1,0.0359
2020-09-15,261762,9362,12,0.0358
2020-09-16,263663,9368,6,0.0355
2020-09-17,265857,9371,3,0.0352
2020-09-18,267773,9378,7,0.035
2020-09-19,270070,9384,6,0.0347
2020-09-20,271415,9386,2,0.0346
2020-09-21,272337,9386,0,0.0345
2020-09-22,274158,9396,10,0.0343
2020-09-23,275927,9409,13,0.0341
2020-09-24,278070,9428,19,0.0339
2020-09-25,280223,9443,15,0.0337
2020-09-26,282730,9452,9,0.0334
2020-09-27,284140,9457,5,0.0333
2020-09-28,285332,9460,3,0.0332
2020-09-29,287421,9471,11,0.033
2020-09-30,289219,9488,17,0.0328
2020-10-01,291722,9500,12,0.0326
2020-10-02,294395,9508,8,0.0323
2020-10-03,296958,9527,19,0.0321
2020-10-04,299237,9529,2,0.0318
2020-10-05,300619,9534,5,0.0317
2020-10-06,303258,9546,12,0.0315
2020-10-07,306086,9562,16,0.0312
2020-10-08,310144,9578,16,0.0309
2020-10-09,314660,9589,11,0.0305
2020-10-10,319381,9604,15,0.0301
2020-10-11,322864,9615,11,0.0298
2020-10-12,325331,9621,6,0.0296
2020-10-13,329453,9634,13,0.0292
2020-10-14,334585,9677,43,0.0289
2020-10-15,341223,9710,33,0.0285
2020-10-16,348557,9734,24,0.0279
2020-10-17,356387,9767,33,0.0274
2020-10-18,361974,9777,10,0.027
2020-10-19,366299,9789,12,0.0267
2020-10-20,373167,9836,47,0.0264
2020-10-21,380762,9875,39,0.0259
2020-10-22,392049,9905,30,0.0253
2020-10-23,403291,9954,49,0.0247
2020-10-24,418005,10003,49,0.0239
2020-10-25,429181,10032,29,0.0234
2020-10-26,437866,10056,24,0.023
2020-10-27,449275,10098,42,0.0225
2020-10-28,464239,10183,85,0.0219
2020-10-29,481013,10272,89,0.0214
2020-10-30,499694,10349,77,0.0207
2020-10-31,518753,10452,103,0.0201
2020-11-01,532930,10481,29,0.0197
2020-11-02,545027,10530,49,0.0193
2020-11-03,560379,10661,131,0.019
2020-11-04,577593,10812,151,0.0187
2020-11-05,597583,10930,118,0.0183
2020-11-06,619089,11096,166,0.0179
2020-11-07,642488,11226,130,0.0175
2020-11-08,658505,11289,63,0.0171
2020-11-09,671868,11352,63,0.0169
2020-11-10,687200,11506,154,0.0167
2020-11-11,705687,11767,261,0.0167
2020-11-12,727553,11982,215,0.0165
2020-11-13,751095,12200,218,0.0162
2020-11-14,773556,12378,178,0.016
2020-11-15,790503,12485,107,0.0158
2020-11-16,801327,12547,62,0.0157
2020-11-17,815746,12814,267,0.0157
2020-11-18,833307,13119,305,0.0157
2020-11-19,855916,13370,251,0.0156
2020-11-20,879564,13630,260,0.0155
2020-11-21,902528,13884,254,0.0154
2020-11-22,918269,14022,138,0.0153
2020-11-23,929133,14112,90,0.0152
2020-11-24,942687,14361,249,0.0152
2020-11-25,961320,14771,410,0.0154
2020-11-26,983588,15160,389,0.0154
2020-11-27,1006394,15586,426,0.0155
2020-11-28,1028089,15965,379,0.0155
2020-11-29,1042700,16123,158,0.0155
2020-11-30,1053869,16248,125,0.0154
2020-12-01,1067473,16636,388,0.0156
2020-12-02,1084743,17123,487,0.0158
2020-12-03,1106789,17602,479,0.0159
2020-12-04,1130238,18034,432,0.016
2020-12-05,1153556,18517,483,0.0161
2020-12-06,1171323,18772,255,0.016
2020-12-07,1183655,18919,147,0.016
2020-12-08,1197709,19342,423,0.0161
2020-12-09,1218524,19932,590,0.0164
2020-12-10,1242203,20372,440,0.0164
2020-12-11,1272078,20970,598,0.0165
2020-12-12,1300516,21466,496,0.0165
2020-12-13,1320716,21787,321,0.0165
2020-12-14,1337078,21975,188,0.0164
2020-12-15,1351510,22475,500,0.0166
2020-12-16,1379238,23427,952,0.017
2020-12-17,1406161,24125,698,0.0172
2020-12-18,1439938,24938,813,0.0173
2020-12-19,1471238,25640,702,0.0174
2020-12-20,1494009,26049,409,0.0174
2020-12-21,1510652,26275,226,0.0174
2020-12-22,1530180,27006,731,0.0176
2020-12-23,1554920,27968,962,0.018
2020-12-24,1587115,28770,802,0.0181
2020-12-25,1612648,29182,412,0.0181
2020-12-26,1627103,29422,240,0.0181
2020-12-27,1640858,29778,356,0.0181
2020-12-28,1651834,30126,348,0.0182
2020-12-29,1664726,30978,852,0.0186
2020-12-30,1687185,32107,1129,0.019
2020-12-31,1719737,33071,964,0.0192
2021-01-01,1742661,33624,553,0.0193
2021-01-02,1755351,33960,336,0.0193
2021-01-03,1765666,34272,312,0.0194
2021-01-04,1775513,34574,302,0.0195
2021-01-05,1787410,35518,944,0.0199
2021-01-06,1808647,36537,1019,0.0202
2021-01-07,1835038,37607,1070,0.0205
2021-01-08,1866887,38795,1188,0.0208
2021-01-09,1891581,39878,1083,0.0211
2021-01-10,1908527,40343,465,0.0211
2021-01-11,1921024,40686,343,0.0212
2021-01-12,1933826,41577,891,0.0215
2021-01-13,1953426,42637,1060,0.0218
2021-01-14,1978590,43881,1244,0.0222
2021-01-15,2000958,44994,1113,0.0225
2021-01-16,2019636,45974,980,0.0228
2021-01-17,2033518,46419,445,0.0228
2021-01-18,2040659,46633,214,0.0229
2021-01-19,2052028,47622,989,0.0232
2021-01-20,2068002,48770,1148,0.0236
2021-01-21,2088400,49783,1013,0.0238
2021-01-22,2106262,50642,859,0.024
2021-01-23,2122679,51521,879,0.0243
2021-01-24,2134936,51870,349,0.0243
2021-01-25,2141665,52087,217,0.0243
2021-01-26,2148077,52990,903,0.0247
2021-01-27,2161275,53972,982,0.025
2021-01-28,2178828,54913,941,0.0252
2021-01-29,2192850,55752,839,0.0254
2021-01-30,2205171,56546,794,0.0256
2021-01-31,2216363,56945,399,0.0257
2021-02-01,2221971,57120,175,0.0257
2021-02-02,2228085,57981,861,0.026
2021-02-03,2237790,58956,975,0.0263
2021-02-04,2252001,59742,786,0.0265
2021-02-05,2264909,60597,855,0.0268
2021-02-06,2275394,61286,689,0.0269
2021-02-07,2284010,61517,231,0.0269
2021-02-08,2288545,61675,158,0.0269
2021-02-09,2291924,62156,481,0.0271
2021-02-10,2299996,62969,813,0.0274
2021-02-11,2310233,63635,666,0.0275
2021-02-12,2320093,64191,556,0.0277
2021-02-13,2328447,64742,551,0.0278
2021-02-14,2334561,64960,218,0.0278
2021-02-15,2338987,65076,116,0.0278
2021-02-16,2342843,65604,528,0.028
2021-02-17,2350399,66164,560,0.0282
2021-02-18,2360606,66698,534,0.0283
2021-02-19,2369719,67206,508,0.0284
2021-02-20,2378883,67696,490,0.0285
2021-02-21,2386559,67841,145,0.0284
2021-02-22,2390928,67903,62,0.0284
2021-02-23,2394811,68318,415,0.0285
2021-02-24,2402818,68740,422,0.0286
2021-02-25,2414687,69125,385,0.0286
2021-02-26,2424684,69519,394,0.0287
2021-02-27,2434446,69888,369,0.0287
2021-02-28,2442336,70045,157,0.0287
2021-03-01,2447068,70105,60,0.0286
2021-03-02,2451011,70463,358,0.0287
2021-03-03,2460030,70881,418,0.0288
2021-03-04,2471942,71240,359,0.0288
2021-03-05,2482522,71504,264,0.0288
2021-03-06,2492079,71804,300,0.0288
2021-03-07,2500182,71900,96,0.0288
2021-03-08,2505193,71934,34,0.0287
2021-03-09,2509445,72189,255,0.0288
2021-03-10,2518591,72489,300,0.0288
2021-03-11,2532947,72810,321,0.0287
2021-03-12,2545781,73062,252,0.0287
2021-03-13,2558455,73301,239,0.0287
2021-03-14,2569245,73371,70,0.0286
2021-03-15,2575849,73418,47,0.0285
2021-03-16,2581329,73656,238,0.0285
2021-03-17,2594764,73905,249,0.0285
2021-03-18,2612268,74132,227,0.0284
2021-03-19,2629750,74358,226,0.0283
2021-03-20,2645783,74565,207,0.0282
2021-03-21,2659516,74664,99,0.0281
2021-03-22,2667225,74714,50,0.028
2021-03-23,2674710,74964,250,0.028
2021-03-24,2690523,75212,248,0.028
2021-03-25,2713180,75440,228,0.0278
2021-03-26,2734753,75623,183,0.0277
2021-03-27,2755225,75780,157,0.0275
2021-03-28,2772401,75870,90,0.0274
2021-03-29,2782273,75913,43,0.0273
2021-03-30,2791822,76093,180,0.0273
2021-03-31,2808873,76342,249,0.0272
2021-04-01,2833173,76543,201,0.027
2021-04-02,2855061,76775,232,0.0269
2021-04-03,2873190,76895,120,0.0268
2021-04-04,2885386,76963,68,0.0267
2021-04-05,2893883,77013,50,0.0266
2021-04-06,2900768,77103,90,0.0266
2021-04-07,2910445,77401,298,0.0266
2021-04-08,2930852,77707,306,0.0265
2021-04-09,2956316,78003,296,0.0264
2021-04-10,2980413,78249,246,0.0263
2021-04-11,2998268,78353,104,0.0261
2021-04-12,3011513,78452,99,0.0261
2021-04-13,3022323,78746,294,0.0261
2021-04-14,3044016,79088,342,0.026
2021-04-15,3073442,79381,293,0.0258
2021-04-16,3099273,79628,247,0.0257
2021-04-17,3123077,79847,219,0.0256
2021-04-18,3142262,79914,67,0.0254
2021-04-19,3153699,80006,92,0.0254
2021-04-20,3163308,80303,297,0.0254
2021-04-21,3188192,80634,331,0.0253
2021-04-22,3217710,80893,259,0.0251
2021-04-23,3245253,81158,265,0.025
2021-04-24,3268645,81444,286,0.0249
2021-04-25,3287418,81564,120,0.0248
2021-04-26,3299325,81624,60,0.0247
2021-04-27,3310301,81968,344,0.0248
2021-04-28,3332532,82280,312,0.0247
2021-04-29,3357268,82544,264,0.0246
2021-04-30,3381597,82850,306,0.0245
2021-05-01,3400532,83082,232,0.0244
2021-05-02,3416822,83192,110,0.0243
2021-05-03,3425982,83276,84,0.0243
2021-05-04,3433516,83591,315,0.0243
2021-05-05,3451550,83876,285,0.0243
2021-05-06,3473503,84126,250,0.0242
2021-05-07,3491988,84410,284,0.0242
2021-05-08,3507673,84648,238,0.0241
2021-05-09,3520329,84775,127,0.0241
2021-05-10,3527251,84829,54,0.024
2021-05-11,3533376,85112,283,0.0241
2021-05-12,3548285,85380,268,0.0241
2021-05-13,3565704,85658,278,0.024
2021-05-14,3577040,85848,190,0.024
2021-05-15,3584934,86025,177,0.024
2021-05-16,3593434,86096,71,0.024
2021-05-17,3598846,86160,64,0.0239
2021-05-18,3603055,86381,221,0.024
2021-05-19,3614095,86665,284,0.024
2021-05-20,3626393,86902,237,0.024
2021-05-21,3635162,87128,226,0.024
2021-05-22,3642244,87298,170,0.024
2021-05-23,3648958,87380,82,0.0239
2021-05-24,3651640,87423,43,0.0239
2021-05-25,3653551,87456,33,0.0239
2021-05-26,3656177,87726,270,0.024
2021-05-27,3662490,87995,269,0.024
2021-05-28,3669870,88187,192,0.024
2021-05-29,3675296,88350,163,0.024
2021-05-30,3679148,88406,56,0.024
2021-05-31,3681126,88442,36,0.024
2021-06-01,3682911,88595,153,0.0241
2021-06-02,3687828,88774,179,0.0241
2021-06-03,3692468,88940,166,0.0241
2021-06-04,3695633,89026,86,0.0241
2021-06-05,3697927,89148,122,0.0241
2021-06-06,3700367,89222,74,0.0241
2021-06-07,3701484,89244,22,0.0241
2021-06-08,3702688,89384,140,0.0241
2021-06-09,3705942,89491,107,0.0241
2021-06-10,3709129,89585,94,0.0242
2021-06-11,3711569,89687,102,0.0242
2021-06-12,3713480,89816,129,0.0242
2021-06-13,3714969,89834,18,0.0242
2021-06-14,3715518,89844,10,0.0242
2021-06-15,3716170,89937,93,0.0242
2021-06-16,3717625,90074,137,0.0242
2021-06-17,3718955,90179,105,0.0242
2021-06-18,3720031,90270,91,0.0243
2021-06-19,3721139,90369,99,0.0243
2021-06-20,3721981,90385,16,0.0243
2021-06-21,3722327,90395,10,0.0243
2021-06-22,3722782,90472,77,0.0243
2021-06-23,3723798,90523,51,0.0243
2021-06-24,3724806,90616,93,0.0243
2021-06-25,3725580,90678,62,0.0243
2021-06-26,3726172,90746,68,0.0244
2021-06-27,3726710,90754,8,0.0244
2021-06-28,3726929,90762,8,0.0244
2021-06-29,3727333,90819,57,0.0244
2021-06-30,3728141,90875,56,0.0244
2021-07-01,3729033,90938,63,0.0244
2021-07-02,3729682,91007,69,0.0244
2021-07-03,3730353,91023,16,0.0244
2021-07-04,3730912,91030,7,0.0244
2021-07-05,3731124,91031,1,0.0244
2021-07-06,3731564,91062,31,0.0244
2021-07-07,3732549,91110,48,0.0244
2021-07-08,3733519,91141,31,0.0244
2021-07-09,3734468,91190,49,0.0244
2021-07-10,3735420,91225,35,0.0244
2021-07-11,3736165,91231,6,0.0244
2021-07-12,3736489,91233,2,0.0244
2021-07-13,3737135,91259,26,0.0244
2021-07-14,3738683,91287,28,0.0244
2021-07-15,3740325,91319,32,0.0244
2021-07-16,3741781,91337,18,0.0244
2021-07-17,3743389,91359,22,0.0244
2021-07-18,3744681,91362,3,0.0244
2021-07-19,3745227,91363,1,0.0244
2021-07-20,3746410,91397,34,0.0244
2021-07-21,3748613,91416,19,0.0244
2021-07-22,3750503,91458,42,0.0244
2021-07-23,3752592,91492,34,0.0244
2021-07-24,3754511,91520,28,0.0244
2021-07-25,3755898,91524,4,0.0244
2021-07-26,3756856,91527,3,0.0244
2021-07-27,3758401,91565,38,0.0244
2021-07-28,3761169,91586,21,0.0244
2021-07-29,3764311,91607,21,0.0243
2021-07-30,3766765,91637,30,0.0243
2021-07-31,3769165,91658,21,0.0243
2021-08-01,3771262,91659,1,0.0243
2021-08-02,3772109,91660,1,0.0243
2021-08-03,3773875,91679,19,0.0243
2021-08-04,3777446,91704,25,0.0243
2021-08-05,3780985,91730,26,0.0243
2021-08-06,3784433,91754,24,0.0242
2021-08-07,3787639,91778,24,0.0242
2021-08-08,3790766,91782,4,0.0242
2021-08-09,3791949,91784,2,0.0242
